Facilities,Amount,Comments,Sentiment
Entrance,18042,Sulit na sulit ang booking namin.,Positive
Reservation,26041,Sulit na sulit ang booking namin.,Positive
Entrance,15409,The facilities are fine but could be better.,Neutral
Reservation,19940,Walang kupas ang ganda ng pool area.,Positive
Event,9271,The facilities are fine but could be better.,Neutral
Room,2069,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,2060,Rude staff and very slow service at reception.,Negative
Room,17200,"Beautiful view and very friendly, helpful staff.",Positive
Event,18173,Great value for money and a relaxing vibe.,Positive
Reservation,6517,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,19854,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,3302,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,15529,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,17026,Great value for money and a relaxing vibe.,Positive
Entrance,18598,Mabait at magalang ang mga staff dito.,Positive
Reservation,21295,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,9331,Rude staff and very slow service at reception.,Negative
Event,29653,Great value for money and a relaxing vibe.,Positive
Room,16671,Medyo okay naman ang experience namin.,Neutral
Reservation,5457,"Terrible and awful experience, would not go back.",Negative
Event,18531,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,15514,Sulit na sulit ang booking namin.,Positive
Event,8154,"Disappointing stay, a total waste of money.",Negative
Reservation,8312,"Terrible and awful experience, would not go back.",Negative
Event,14337,"Standard amenities, fine experience for the price.",Neutral
Reservation,18530,Walang kupas ang ganda ng pool area.,Positive
Event,14538,Good location but service was just standard.,Neutral
Room,13368,"It was an okay stay, average service overall.",Neutral
Reservation,17462,"The room was decent and normal, nothing special.",Neutral
Hall Rental,6753,The water was cloudy and the area was messy.,Negative
Reservation,10461,"Standard amenities, fine experience for the price.",Neutral
Reservation,25823,Great value for money and a relaxing vibe.,Positive
Hall Rental,11765,"It was an okay stay, average service overall.",Neutral
Event,11262,Good location but service was just standard.,Neutral
Event,8040,"The room was decent and normal, nothing special.",Neutral
Room,26221,"Everything was superb, clean, and well-maintained.",Positive
Room,2983,"Terrible and awful experience, would not go back.",Negative
Entrance,17941,Good location but service was just standard.,Neutral
Entrance,3292,Madumi yung area nung dumating kami.,Negative
Entrance,3555,Madumi yung area nung dumating kami.,Negative
Room,7533,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,9058,The water was cloudy and the area was messy.,Negative
Reservation,9913,"It was an okay stay, average service overall.",Neutral
Entrance,6598,Rude staff and very slow service at reception.,Negative
Event,9251,"It was an okay stay, average service overall.",Neutral
Hall Rental,15775,Great value for money and a relaxing vibe.,Positive
Event,8382,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,21780,"Excellent facility, highly recommend to everyone!",Positive
Event,17168,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,16328,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,21089,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,21287,Sulit na sulit ang booking namin.,Positive
Hall Rental,7506,Madumi yung area nung dumating kami.,Negative
Event,27256,"Everything was superb, clean, and well-maintained.",Positive
Event,15956,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,8637,"Terrible and awful experience, would not go back.",Negative
Reservation,22245,Great value for money and a relaxing vibe.,Positive
Room,13560,"The room was decent and normal, nothing special.",Neutral
Hall Rental,8507,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,8606,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,11907,The facilities are fine but could be better.,Neutral
Room,14397,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,4381,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,15678,"It was an okay stay, average service overall.",Neutral
Event,2873,The water was cloudy and the area was messy.,Negative
Hall Rental,23194,Walang kupas ang ganda ng pool area.,Positive
Reservation,10005,Good location but service was just standard.,Neutral
Room,21402,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,22629,Mabait at magalang ang mga staff dito.,Positive
Room,5634,Rude staff and very slow service at reception.,Negative
Hall Rental,17280,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,14868,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,13637,Good location but service was just standard.,Neutral
Reservation,9958,Medyo okay naman ang experience namin.,Neutral
Hall Rental,6052,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,29468,Sulit na sulit ang booking namin.,Positive
Reservation,10854,"Standard amenities, fine experience for the price.",Neutral
Room,11629,Medyo okay naman ang experience namin.,Neutral
Hall Rental,5806,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,25966,"Beautiful view and very friendly, helpful staff.",Positive
Event,2314,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,26760,Walang kupas ang ganda ng pool area.,Positive
Entrance,3129,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,3817,The water was cloudy and the area was messy.,Negative
Hall Rental,3910,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,8557,"It was an okay stay, average service overall.",Neutral
Event,6865,Madumi yung area nung dumating kami.,Negative
Event,9503,"Terrible and awful experience, would not go back.",Negative
Reservation,12637,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,21905,Sulit na sulit ang booking namin.,Positive
Entrance,29388,Mabait at magalang ang mga staff dito.,Positive
Event,6548,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,9773,Madumi yung area nung dumating kami.,Negative
Reservation,11103,"It was an okay stay, average service overall.",Neutral
Hall Rental,12757,Medyo okay naman ang experience namin.,Neutral
Hall Rental,16125,"It was an okay stay, average service overall.",Neutral
Hall Rental,7636,The water was cloudy and the area was messy.,Negative
Room,20913,Sulit na sulit ang booking namin.,Positive
Event,9601,Madumi yung area nung dumating kami.,Negative
Reservation,17667,Medyo okay naman ang experience namin.,Neutral
Event,19530,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,15295,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,14971,"Standard amenities, fine experience for the price.",Neutral
Entrance,25574,"Excellent facility, highly recommend to everyone!",Positive
Room,29889,Great value for money and a relaxing vibe.,Positive
Room,26125,Walang kupas ang ganda ng pool area.,Positive
Event,4528,"Disappointing stay, a total waste of money.",Negative
Event,9644,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,20189,"Beautiful view and very friendly, helpful staff.",Positive
Room,7968,Rude staff and very slow service at reception.,Negative
Event,16645,"Excellent facility, highly recommend to everyone!",Positive
Reservation,3956,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,9832,"Disappointing stay, a total waste of money.",Negative
Reservation,21102,Walang kupas ang ganda ng pool area.,Positive
Room,24042,Sulit na sulit ang booking namin.,Positive
Event,2546,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,7256,The water was cloudy and the area was messy.,Negative
Hall Rental,16921,Good location but service was just standard.,Neutral
Event,5072,The water was cloudy and the area was messy.,Negative
Event,22099,Sulit na sulit ang booking namin.,Positive
Room,15395,"Everything was superb, clean, and well-maintained.",Positive
Reservation,3079,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,6654,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,27917,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,5779,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,10951,Medyo okay naman ang experience namin.,Neutral
Entrance,22668,"Excellent facility, highly recommend to everyone!",Positive
Room,4113,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,16912,Good location but service was just standard.,Neutral
Room,26338,Great value for money and a relaxing vibe.,Positive
Room,20299,Sulit na sulit ang booking namin.,Positive
Reservation,16690,The facilities are fine but could be better.,Neutral
Room,18242,Sulit na sulit ang booking namin.,Positive
Entrance,9312,Madumi yung area nung dumating kami.,Negative
Entrance,27790,Sulit na sulit ang booking namin.,Positive
Event,22776,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,7057,"Terrible and awful experience, would not go back.",Negative
Reservation,13593,The facilities are fine but could be better.,Neutral
Reservation,8593,Rude staff and very slow service at reception.,Negative
Entrance,22014,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,12195,"The room was decent and normal, nothing special.",Neutral
Entrance,19285,Sulit na sulit ang booking namin.,Positive
Room,16326,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,18738,Sulit na sulit ang booking namin.,Positive
Reservation,16646,Great value for money and a relaxing vibe.,Positive
Hall Rental,17536,Good location but service was just standard.,Neutral
Reservation,8674,Good location but service was just standard.,Neutral
Entrance,24093,The service was perfect and absolutely amazing.,Positive
Hall Rental,2703,Madumi yung area nung dumating kami.,Negative
Event,20690,"Everything was superb, clean, and well-maintained.",Positive
Reservation,28643,Sulit na sulit ang booking namin.,Positive
Entrance,12939,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,6934,The water was cloudy and the area was messy.,Negative
Reservation,9892,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,8658,"The room was decent and normal, nothing special.",Neutral
Reservation,7839,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,2853,The water was cloudy and the area was messy.,Negative
Event,15521,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,3128,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,2324,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,3505,"Terrible and awful experience, would not go back.",Negative
Event,5062,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,20490,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,12478,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,28102,Sulit na sulit ang booking namin.,Positive
Event,14846,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,18741,Great value for money and a relaxing vibe.,Positive
Reservation,15568,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,9449,"The room was decent and normal, nothing special.",Neutral
Event,21614,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,21731,Sulit na sulit ang booking namin.,Positive
Reservation,9619,Medyo okay naman ang experience namin.,Neutral
Reservation,9297,The water was cloudy and the area was messy.,Negative
Entrance,4785,"Terrible and awful experience, would not go back.",Negative
Event,5701,"Disappointing stay, a total waste of money.",Negative
Hall Rental,28156,Sulit na sulit ang booking namin.,Positive
Hall Rental,12307,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,17752,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,28161,"Everything was superb, clean, and well-maintained.",Positive
Room,11816,Good location but service was just standard.,Neutral
Reservation,16304,Great value for money and a relaxing vibe.,Positive
Reservation,26329,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,10890,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,14999,"The room was decent and normal, nothing special.",Neutral
Reservation,9104,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,26145,Sulit na sulit ang booking namin.,Positive
Event,12357,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,5854,"Disappointing stay, a total waste of money.",Negative
Hall Rental,26022,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,22490,Walang kupas ang ganda ng pool area.,Positive
Event,14236,Good location but service was just standard.,Neutral
Entrance,3033,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,23519,Sulit na sulit ang booking namin.,Positive
Reservation,21924,Walang kupas ang ganda ng pool area.,Positive
Entrance,5123,Madumi yung area nung dumating kami.,Negative
Room,9665,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,28170,Walang kupas ang ganda ng pool area.,Positive
Room,5832,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,5795,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,27469,Great value for money and a relaxing vibe.,Positive
Entrance,15154,Sulit na sulit ang booking namin.,Positive
Hall Rental,29243,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,7645,The water was cloudy and the area was messy.,Negative
Reservation,23002,"Everything was superb, clean, and well-maintained.",Positive
Reservation,6534,"Terrible and awful experience, would not go back.",Negative
Reservation,9750,Good location but service was just standard.,Neutral
Room,3645,The water was cloudy and the area was messy.,Negative
Hall Rental,15829,Medyo okay naman ang experience namin.,Neutral
Hall Rental,8369,"Standard amenities, fine experience for the price.",Neutral
Reservation,23308,Great value for money and a relaxing vibe.,Positive
Entrance,13776,The facilities are fine but could be better.,Neutral
Room,6466,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,7565,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,7565,"Terrible and awful experience, would not go back.",Negative
Room,16460,The service was perfect and absolutely amazing.,Positive
Room,21677,Great value for money and a relaxing vibe.,Positive
Room,19036,"Everything was superb, clean, and well-maintained.",Positive
Reservation,13119,Medyo okay naman ang experience namin.,Neutral
Reservation,28245,Great value for money and a relaxing vibe.,Positive
Reservation,4757,The water was cloudy and the area was messy.,Negative
Reservation,3007,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,16306,Medyo okay naman ang experience namin.,Neutral
Hall Rental,8492,The facilities are fine but could be better.,Neutral
Entrance,12155,Medyo okay naman ang experience namin.,Neutral
Event,17460,Sulit na sulit ang booking namin.,Positive
Reservation,23619,Sulit na sulit ang booking namin.,Positive
Entrance,29737,Sulit na sulit ang booking namin.,Positive
Event,9806,The facilities are fine but could be better.,Neutral
Room,7296,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,8875,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,3996,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,5637,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,3545,"Disappointing stay, a total waste of money.",Negative
Event,17120,"The room was decent and normal, nothing special.",Neutral
Room,11932,Good location but service was just standard.,Neutral
Entrance,11831,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,16307,"Standard amenities, fine experience for the price.",Neutral
Event,8719,"Disappointing stay, a total waste of money.",Negative
Hall Rental,15395,Medyo okay naman ang experience namin.,Neutral
Room,9743,"Terrible and awful experience, would not go back.",Negative
Reservation,18086,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,8079,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,9032,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,23245,Great value for money and a relaxing vibe.,Positive
Room,11168,Good location but service was just standard.,Neutral
Reservation,5201,"Terrible and awful experience, would not go back.",Negative
Reservation,15845,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,16205,"Beautiful view and very friendly, helpful staff.",Positive
Event,19859,The service was perfect and absolutely amazing.,Positive
Entrance,13672,"Standard amenities, fine experience for the price.",Neutral
Room,3168,"Terrible and awful experience, would not go back.",Negative
Event,8840,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,4597,The water was cloudy and the area was messy.,Negative
Room,5998,Madumi yung area nung dumating kami.,Negative
Reservation,6745,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,16365,"The room was decent and normal, nothing special.",Neutral
Reservation,6652,Madumi yung area nung dumating kami.,Negative
Entrance,16923,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,24650,"Everything was superb, clean, and well-maintained.",Positive
Entrance,18472,Walang kupas ang ganda ng pool area.,Positive
Event,16252,"Excellent facility, highly recommend to everyone!",Positive
Room,9700,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,19544,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,23110,Great value for money and a relaxing vibe.,Positive
Event,26253,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,22052,Sulit na sulit ang booking namin.,Positive
Event,9678,"It was an okay stay, average service overall.",Neutral
Hall Rental,5960,"Terrible and awful experience, would not go back.",Negative
Entrance,8153,Madumi yung area nung dumating kami.,Negative
Room,9903,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,11802,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,24700,Sulit na sulit ang booking namin.,Positive
Entrance,22002,"Excellent facility, highly recommend to everyone!",Positive
Reservation,8182,"The room was decent and normal, nothing special.",Neutral
Entrance,28647,"Everything was superb, clean, and well-maintained.",Positive
Event,26023,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,8380,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,16707,Great value for money and a relaxing vibe.,Positive
Hall Rental,7190,Rude staff and very slow service at reception.,Negative
Entrance,3141,"Disappointing stay, a total waste of money.",Negative
Room,7721,"Disappointing stay, a total waste of money.",Negative
Hall Rental,21777,Great value for money and a relaxing vibe.,Positive
Room,12131,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,27537,Mabait at magalang ang mga staff dito.,Positive
Room,3767,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,12552,The facilities are fine but could be better.,Neutral
Entrance,3538,The water was cloudy and the area was messy.,Negative
Room,25554,Walang kupas ang ganda ng pool area.,Positive
Event,17196,"Excellent facility, highly recommend to everyone!",Positive
Entrance,4976,Madumi yung area nung dumating kami.,Negative
Room,8016,Rude staff and very slow service at reception.,Negative
Entrance,19841,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,26371,Sulit na sulit ang booking namin.,Positive
Event,27328,Great value for money and a relaxing vibe.,Positive
Event,10382,Good location but service was just standard.,Neutral
Event,8464,"It was an okay stay, average service overall.",Neutral
Reservation,3788,The water was cloudy and the area was messy.,Negative
Hall Rental,3248,Rude staff and very slow service at reception.,Negative
Entrance,7368,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,7969,Madumi yung area nung dumating kami.,Negative
Entrance,23577,Mabait at magalang ang mga staff dito.,Positive
Event,5248,The water was cloudy and the area was messy.,Negative
Hall Rental,9581,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,4868,"Disappointing stay, a total waste of money.",Negative
Reservation,10863,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,23906,"Everything was superb, clean, and well-maintained.",Positive
Event,15876,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,18444,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,11920,Good location but service was just standard.,Neutral
Room,10783,Medyo okay naman ang experience namin.,Neutral
Entrance,14318,"The room was decent and normal, nothing special.",Neutral
Room,15189,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,6657,Madumi yung area nung dumating kami.,Negative
Hall Rental,8685,"Disappointing stay, a total waste of money.",Negative
Hall Rental,22123,Walang kupas ang ganda ng pool area.,Positive
Reservation,19200,The service was perfect and absolutely amazing.,Positive
Reservation,9237,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,25720,Sulit na sulit ang booking namin.,Positive
Entrance,12198,"The room was decent and normal, nothing special.",Neutral
Room,8478,The water was cloudy and the area was messy.,Negative
Reservation,3813,"Terrible and awful experience, would not go back.",Negative
Reservation,15239,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,13043,Good location but service was just standard.,Neutral
Hall Rental,28417,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,10808,"The room was decent and normal, nothing special.",Neutral
Event,28440,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,9556,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,14871,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,11373,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,24047,Sulit na sulit ang booking namin.,Positive
Event,5472,"Disappointing stay, a total waste of money.",Negative
Hall Rental,2579,The water was cloudy and the area was messy.,Negative
Room,25492,Sulit na sulit ang booking namin.,Positive
Event,4032,"Disappointing stay, a total waste of money.",Negative
Reservation,15135,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,23173,Great value for money and a relaxing vibe.,Positive
Reservation,16290,"Excellent facility, highly recommend to everyone!",Positive
Reservation,10800,"The room was decent and normal, nothing special.",Neutral
Room,5897,Madumi yung area nung dumating kami.,Negative
Entrance,15077,"Beautiful view and very friendly, helpful staff.",Positive
Room,9873,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,4590,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,9446,"Terrible and awful experience, would not go back.",Negative
Entrance,9051,The facilities are fine but could be better.,Neutral
Room,15285,The service was perfect and absolutely amazing.,Positive
Hall Rental,6837,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,3607,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,4744,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,11175,"The room was decent and normal, nothing special.",Neutral
Entrance,20881,Sulit na sulit ang booking namin.,Positive
Room,9036,"Disappointing stay, a total waste of money.",Negative
Room,22330,Great value for money and a relaxing vibe.,Positive
Hall Rental,18987,Walang kupas ang ganda ng pool area.,Positive
Entrance,9848,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,5491,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,20941,"Everything was superb, clean, and well-maintained.",Positive
Room,17156,Sulit na sulit ang booking namin.,Positive
Hall Rental,9710,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,28108,Mabait at magalang ang mga staff dito.,Positive
Room,9898,"Terrible and awful experience, would not go back.",Negative
Hall Rental,15296,Medyo okay naman ang experience namin.,Neutral
Room,7211,Madumi yung area nung dumating kami.,Negative
Room,3552,Rude staff and very slow service at reception.,Negative
Entrance,9856,The water was cloudy and the area was messy.,Negative
Room,25300,Great value for money and a relaxing vibe.,Positive
Reservation,5419,Rude staff and very slow service at reception.,Negative
Hall Rental,28716,Sulit na sulit ang booking namin.,Positive
Room,25268,"Excellent facility, highly recommend to everyone!",Positive
Reservation,3759,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,3443,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,15317,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,15162,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,24204,"Everything was superb, clean, and well-maintained.",Positive
Reservation,7898,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,12615,"Standard amenities, fine experience for the price.",Neutral
Room,9787,"The room was decent and normal, nothing special.",Neutral
Event,3135,"Disappointing stay, a total waste of money.",Negative
Room,10669,"Standard amenities, fine experience for the price.",Neutral
Room,26003,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,9536,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,11676,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,25853,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,15122,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,10524,"It was an okay stay, average service overall.",Neutral
Entrance,5885,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,11748,"Standard amenities, fine experience for the price.",Neutral
Reservation,16440,The service was perfect and absolutely amazing.,Positive
Event,6225,Madumi yung area nung dumating kami.,Negative
Reservation,13929,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,13867,"Standard amenities, fine experience for the price.",Neutral
Room,4883,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,15462,Good location but service was just standard.,Neutral
Room,24506,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,22657,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,17471,Good location but service was just standard.,Neutral
Reservation,9898,"Standard amenities, fine experience for the price.",Neutral
Event,28931,"Everything was superb, clean, and well-maintained.",Positive
Reservation,9690,Madumi yung area nung dumating kami.,Negative
Entrance,29153,Mabait at magalang ang mga staff dito.,Positive
Reservation,16320,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,15262,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,12424,Medyo okay naman ang experience namin.,Neutral
Hall Rental,16464,"The room was decent and normal, nothing special.",Neutral
Entrance,2541,"Disappointing stay, a total waste of money.",Negative
Event,10745,The facilities are fine but could be better.,Neutral
Entrance,24111,"Everything was superb, clean, and well-maintained.",Positive
Room,16721,"The room was decent and normal, nothing special.",Neutral
Room,2344,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,12383,Good location but service was just standard.,Neutral
Event,28428,Mabait at magalang ang mga staff dito.,Positive
Entrance,5140,"Disappointing stay, a total waste of money.",Negative
Reservation,6443,Mabagal ang serbisyo at medyo disappointing.,Negative
Event,27500,Great value for money and a relaxing vibe.,Positive
Event,8357,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,15988,Walang kupas ang ganda ng pool area.,Positive
Entrance,19431,Walang kupas ang ganda ng pool area.,Positive
Event,17732,Medyo okay naman ang experience namin.,Neutral
Entrance,5511,The water was cloudy and the area was messy.,Negative
Reservation,8441,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,13255,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,17607,"It was an okay stay, average service overall.",Neutral
Hall Rental,15768,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,22904,Sulit na sulit ang booking namin.,Positive
Reservation,18636,"Everything was superb, clean, and well-maintained.",Positive
Room,15374,"The room was decent and normal, nothing special.",Neutral
Hall Rental,8725,The facilities are fine but could be better.,Neutral
Event,6016,"Terrible and awful experience, would not go back.",Negative
Event,28481,Great value for money and a relaxing vibe.,Positive
Entrance,4175,Rude staff and very slow service at reception.,Negative
Hall Rental,5618,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,7982,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,2273,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,24645,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,8364,Mabagal ang serbisyo at medyo disappointing.,Negative
Event,27772,Sulit na sulit ang booking namin.,Positive
Event,15170,"Standard amenities, fine experience for the price.",Neutral
Event,23393,The service was perfect and absolutely amazing.,Positive
Room,13789,"It was an okay stay, average service overall.",Neutral
Event,27275,Mabait at magalang ang mga staff dito.,Positive
Entrance,21738,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,6603,"Terrible and awful experience, would not go back.",Negative
Room,24984,Sulit na sulit ang booking namin.,Positive
Room,6248,"Disappointing stay, a total waste of money.",Negative
Room,17511,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,17923,Great value for money and a relaxing vibe.,Positive
Room,8737,"Disappointing stay, a total waste of money.",Negative
Room,15707,Sulit na sulit ang booking namin.,Positive
Reservation,21313,Walang kupas ang ganda ng pool area.,Positive
Entrance,23684,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,9356,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,6302,"Disappointing stay, a total waste of money.",Negative
Reservation,7442,"Terrible and awful experience, would not go back.",Negative
Event,13416,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,16724,Great value for money and a relaxing vibe.,Positive
Room,26690,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,14823,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,11262,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,5782,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,8289,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,24555,"Excellent facility, highly recommend to everyone!",Positive
Reservation,10090,"Standard amenities, fine experience for the price.",Neutral
Reservation,15634,"Beautiful view and very friendly, helpful staff.",Positive
Room,8976,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,15763,"It was an okay stay, average service overall.",Neutral
Hall Rental,2350,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,22473,The service was perfect and absolutely amazing.,Positive
Reservation,22848,The service was perfect and absolutely amazing.,Positive
Hall Rental,19555,Walang kupas ang ganda ng pool area.,Positive
Room,29820,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,3133,Madumi yung area nung dumating kami.,Negative
Hall Rental,23212,Great value for money and a relaxing vibe.,Positive
Room,4159,Hindi kami nasiyahan sa aming stay dito.,Negative
